model,type,count,word_count_mean,word_count_std,word_count_median,ttr_mean,rouge1_mean,rougeL_mean
qwen2.5_3b,baseline,500,389.032,131.27412833281002,340.5,0.36931151565599857,0.15248073284374417,0.08913620564237963
qwen2.5_3b,multi-agent,500,98.91,18.26683482459449,97.0,0.6426507173181931,0.237370341199619,0.13171151990482305
qwen2.5_7b,baseline,500,484.334,106.23282576746739,544.0,0.3549225146900345,0.135218450082099,0.08040448684296198
qwen2.5_7b,multi-agent,500,100.446,18.01332962248169,99.5,0.6453403924421491,0.24013248487243824,0.13231630920054452
gemma-7b-it,baseline,500,144.658,38.46015344230456,141.0,0.5008428619467619,0.22802480125404767,0.13084455858749705
gemma_7b,multi-agent,500,100.344,26.553867510393264,98.0,0.6222510104382798,0.241937253227864,0.1397119515954478
llama3b,baseline,500,405.902,82.37973803355382,390.0,0.3322027588951056,0.14568677860549675,0.08760335570099251
llama3.2_3b,multi-agent,500,150.888,44.47727410513876,149.0,0.5476203329336288,0.22806779843903405,0.1261530695371837
mistral7b,baseline,500,310.162,70.28507479884301,303.0,0.4258787377748304,0.17491122255464298,0.09743063237777445
mistral7b,multi-agent,500,109.78,28.485899897773493,107.0,0.6443518122282933,0.23477024143945838,0.12743236876661349
llama1b,baseline,500,329.29,87.34550001428518,326.0,0.34043203673046674,0.16053455843532682,0.09649187517619787
llama1b,multi-agent,500,92.568,40.304071908739566,90.5,0.6266876807351123,0.23104619466702217,0.1333094948482236
gemma-2-2b-it,baseline,500,275.184,77.00484163525395,259.0,0.4221159184891634,0.1701454826236444,0.09752888599729119
gemma-2-2b-it,multi-agent,500,105.006,24.617025813851676,106.0,0.602535566703073,0.22827590913779314,0.12830722030305702
